"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Gene1816",5.59164726153739e-06,-0.298913678525839,0.988,1,0.0111832945230748
"Gene1721",5.67465248068069e-05,0.226397154887802,0.996,0.992,0.113493049613614
"Gene344",0.000108482097519818,0.239908066698629,1,0.983,0.216964195039636
"Gene1435",0.000108618560274182,-0.239519608715298,0.996,0.992,0.217237120548363
"Gene458",0.000149170446830868,0.218790476292534,0.996,0.979,0.298340893661736
"Gene1323",0.000233494195003287,0.205282899325281,0.996,1,0.466988390006573
"Gene1659",0.000280868196008262,-0.217698974548062,0.988,0.992,0.561736392016524
"Gene1489",0.00030071595216475,-0.228660517636159,0.992,0.992,0.6014319043295
"Gene173",0.000353501543897176,0.213711055625796,0.996,0.988,0.707003087794352
"Gene1114",0.00035559906796051,-0.238780553260592,0.996,0.988,0.711198135921019
"Gene1716",0.000362812488601094,-0.220710631177749,0.984,0.992,0.725624977202189
"Gene254",0.000411472840548137,-0.200735370460281,0.992,0.996,0.822945681096274
"Gene423",0.00042866514292319,0.210098500975346,0.996,0.992,0.85733028584638
"Gene222",0.000428667329572959,0.198584604262932,0.996,0.992,0.857334659145918
"Gene1446",0.000628606609560672,-0.202188359291625,0.977,1,1
"Gene1382",0.000760091293342206,0.20977594146989,0.992,0.988,1
"Gene247",0.000780840851015312,0.19088097602977,0.996,0.992,1
"Gene1926",0.000864362623793513,-0.15862943384289,0.992,1,1
"Gene1049",0.00106259555089624,0.195890221600116,0.996,0.983,1
"Gene922",0.00124846550200162,-0.167240840307938,0.996,1,1
"Gene1893",0.00138014485658678,-0.214414635378646,0.992,1,1
"Gene484",0.00140858647770246,-0.190140915120027,0.996,1,1
"Gene1483",0.00152617363491891,-0.183773217316515,0.984,1,1
"Gene1023",0.0015756769228459,-0.199860864483993,0.984,0.992,1
"Gene346",0.00164576046782192,-0.170307511207266,0.996,1,1
"Gene1817",0.00175903471346915,0.155422920687205,1,0.992,1
"Gene680",0.00179457808965519,-0.199229820690989,1,1,1
"Gene308",0.00200109405789656,0.178414896938101,0.992,0.996,1
"Gene44",0.00208833937450961,-0.14944766938861,0.992,0.996,1
"Gene1969",0.00215884500097448,0.173605961321729,0.992,0.992,1
"Gene926",0.00217230339002938,-0.167685424360423,0.996,0.996,1
"Gene819",0.00278939617148403,-0.194275550314694,0.988,0.996,1
"Gene1056",0.00321522630235683,-0.170640149576621,0.988,1,1
"Gene989",0.00339343287889758,-0.147798931489792,0.996,1,1
"Gene333",0.00352067059173148,0.150372415287038,0.992,0.996,1
"Gene425",0.00357347489484748,0.178120306518635,0.992,0.992,1
"Gene1554",0.00390956638261741,-0.16166022762446,0.984,0.992,1
"Gene1365",0.00439667595905637,0.154523660829022,1,0.988,1
"Gene845",0.00449164648672798,0.168892242895056,1,0.967,1
"Gene63",0.0045223360630949,0.163390010764616,0.992,0.988,1
"Gene363",0.00460201340254925,0.173136954963669,0.996,0.996,1
"Gene199",0.00502439347928153,0.149478789446624,0.996,0.996,1
"Gene839",0.00519596315372329,0.157502224756146,1,0.996,1
"Gene488",0.00536254327531342,-0.190525415154564,0.984,0.996,1
